N=    , Rotations=    
3,10
4,7
5,32
6,36
7,70
8,93
9,121
10,138
11,196
12,209
13,274
14,302
15,366
16,412
17,477
18,533
19,617
20,651
21,734
22,810
23,909
24,961
25,1060
26,1142
27,1261
28,1326
29,1423
30,1536
31,1661
32,1778
33,1869
34,1965
35,2120
36,2230
37,2374
38,2445
39,2638
40,2790
41,2925
42,3049
43,3184
44,3382
45,3528
46,3651
47,3851
48,4008
49,4137
50,4344
51,4560
52,4681
53,4936
54,5124
55,5289
56,5522
57,5689
58,5881
59,6134
60,6250
61,6538
62,6663
63,6913
64,7193
65,7379
66,7690
67,7907
68,8125
69,8311
70,8572
71,8858
72,9194
73,9335
74,9666
75,9927
76,10160
77,10423
78,10790
79,10997
80,11189
81,11621
82,11842
83,12140
84,12391
85,12732
86,13067
87,13349
88,13590
89,13974
90,14248
91,14661
92,14935
93,15258
94,15531
95,15951
96,16383
97,16587
98,16927
99,17253
100,17702
101,17929
102,18382
103,18770
104,19147
105,19362
106,19858
107,20248
108,20604
109,20938
