               t             x_1             y_1             z_1            v_x1            v_y1            v_z1
               0  6.49879533e+01  0.00000000e+00  1.88632393e+03  0.00000000e+00 -4.81323372e+02  0.00000000e+00
  1.00000000e-01  5.35551045e+01 -4.81323372e+01  1.87724013e+03 -1.14328489e+02 -1.14328489e+02 -1.14328489e+02
  2.00000000e-01  3.06618787e+01 -9.36277609e+01  1.85911628e+03 -2.28932258e+02 -2.28932258e+02 -2.28932258e+02
  3.00000000e-01 -3.11192912e+00 -1.33836380e+02  1.83203964e+03 -3.37738078e+02 -3.37738078e+02 -3.37738078e+02
  4.00000000e-01 -4.65746804e+01 -1.66235178e+02  1.79614062e+03 -4.34627513e+02 -4.34627513e+02 -4.34627513e+02
  5.00000000e-01 -9.79505724e+01 -1.88569255e+02  1.75159209e+03 -5.13758920e+02 -5.13758920e+02 -5.13758920e+02
  6.00000000e-01 -1.54939920e+02 -1.98987058e+02  1.69860857e+03 -5.69893476e+02 -5.69893476e+02 -5.69893476e+02
  7.00000000e-01 -2.14810736e+02 -1.96162061e+02  1.63744522e+03 -5.98708164e+02 -5.98708164e+02 -5.98708164e+02
  8.00000000e-01 -2.74518571e+02 -1.79393660e+02  1.56839657e+03 -5.97078346e+02 -5.97078346e+02 -5.97078346e+02
  9.00000000e-01 -3.30849889e+02 -1.48680724e+02  1.49179514e+03 -5.63313182e+02 -5.63313182e+02 -5.63313182e+02
  1.00000000e+00 -3.80582754e+02 -1.04762299e+02  1.40800980e+03 -4.97328645e+02 -4.97328645e+02 -4.97328645e+02
  1.10000000e+00 -4.20657288e+02 -4.91214190e+01  1.31744404e+03 -4.00745342e+02 -4.00745342e+02 -4.00745342e+02
  1.20000000e+00 -4.48347445e+02  1.60503519e+01  1.22053398e+03 -2.76901571e+02 -2.76901571e+02 -2.76901571e+02
  1.30000000e+00 -4.61425045e+02  8.79280181e+01  1.11774631e+03 -1.30776001e+02 -1.30776001e+02 -1.30776001e+02
  1.40000000e+00 -4.58306928e+02  1.63166229e+02  1.00957600e+03  3.11811730e+01  3.11811730e+01  3.11811730e+01
  1.50000000e+00 -4.38176432e+02  2.38046530e+02  8.96543974e+02  2.01304960e+02  2.01304960e+02  2.01304960e+02
  1.60000000e+00 -4.01071264e+02  3.08652970e+02  7.79194540e+02  3.71051674e+02  3.71051674e+02  3.71051674e+02
  1.70000000e+00 -3.47931146e+02  3.71068387e+02  6.58092810e+02  5.31401186e+02  5.31401186e+02  5.31401186e+02
  1.80000000e+00 -2.80600364e+02  4.21582160e+02  5.33821962e+02  6.73307821e+02  6.73307821e+02  6.73307821e+02
  1.90000000e+00 -2.01782482e+02  4.56899083e+02  4.06980435e+02  7.88178818e+02  7.88178818e+02  7.88178818e+02
  2.00000000e+00 -1.14946827e+02  4.74338323e+02  2.78179050e+02  8.68356546e+02  8.68356546e+02  8.68356546e+02
  2.10000000e+00 -2.41889139e+01  4.72011347e+02  1.48038063e+02  9.07579135e+02  9.07579135e+02  9.07579135e+02
  2.20000000e+00  6.59504670e+01  4.48968147e+02  1.71841828e+01  9.01393808e+02  9.01393808e+02  9.01393808e+02
  2.30000000e+00  1.50700291e+02  4.05302173e+02 -1.13752450e+02  8.47498242e+02  8.47498242e+02  8.47498242e+02
  2.40000000e+00  2.25299058e+02  3.42205983e+02 -2.44141295e+02  7.45987668e+02  7.45987668e+02  7.45987668e+02
  2.50000000e+00  2.85247970e+02  2.61971832e+02 -3.73354452e+02  5.99489122e+02  5.99489122e+02  5.99489122e+02
  2.60000000e+00  3.26564887e+02  1.67933931e+02 -5.00769679e+02  4.13169164e+02  4.13169164e+02  4.13169164e+02
