               t             z_1            v_z1
               0  1.88632393e+03  0.00000000e+00
  1.00000000e-01  1.88178386e+03 -1.13316173e+02
  2.00000000e-01  1.86818548e+03 -2.20638772e+02
  3.00000000e-01  1.84559427e+03 -3.16291014e+02
  4.00000000e-01  1.81411896e+03 -3.95212483e+02
  5.00000000e-01  1.77391108e+03 -4.53226392e+02
  6.00000000e-01  1.72516416e+03 -4.87260176e+02
  7.00000000e-01  1.66811287e+03 -4.95507757e+02
  8.00000000e-01  1.60303182e+03 -4.77524936e+02
  9.00000000e-01  1.53023429e+03 -4.34252846e+02
  1.00000000e+00  1.45007071e+03 -3.67968248e+02
  1.10000000e+00  1.36292697e+03 -2.82163284e+02
  1.20000000e+00  1.26922253e+03 -1.81361041e+02
  1.30000000e+00  1.16940847e+03 -7.08766694e+01
  1.40000000e+00  1.06396526e+03  4.34633283e+01
  1.50000000e+00  9.53400461e+02  1.55628821e+02
  1.60000000e+00  8.38246304e+02  2.59704519e+02
  1.70000000e+00  7.19057102e+02  3.50202385e+02
  1.80000000e+00  5.96406593e+02  4.22351472e+02
  1.90000000e+00  4.70885176e+02  4.72349897e+02
  2.00000000e+00  3.43097071e+02  4.97565627e+02
  2.10000000e+00  2.13657408e+02  4.96675481e+02
  2.20000000e+00  8.31892673e+01  4.69735016e+02
  2.30000000e+00 -4.76793189e+01  4.18175580e+02
  2.40000000e+00 -1.78318392e+02  3.44728720e+02
  2.50000000e+00 -3.08099098e+02  2.53281913e+02
  2.60000000e+00 -4.36396715e+02  1.48673249e+02
  2.70000000e+00 -5.62593660e+02  3.64359125e+01
  2.80000000e+00 -6.86082461e+02 -7.74940490e+01
  2.90000000e+00 -8.06268683e+02 -1.87091232e+02
  3.00000000e+00 -9.22573790e+02 -2.86559101e+02
  3.10000000e+00 -1.03443793e+03 -3.70636128e+02
  3.20000000e+00 -1.14132261e+03 -4.34873670e+02
  3.30000000e+00 -1.24271334e+03 -4.75870924e+02
  3.40000000e+00 -1.33812205e+03 -4.91454525e+02
  3.50000000e+00 -1.42708948e+03 -4.80793338e+02
  3.60000000e+00 -1.50918736e+03 -4.44442346e+02
  3.70000000e+00 -1.58402050e+03 -3.84313338e+02
  3.80000000e+00 -1.65122868e+03 -3.03573939e+02
  3.90000000e+00 -1.71048838e+03 -2.06480314e+02
  4.00000000e+00 -1.76151435e+03 -9.81523832e+01
  4.10000000e+00 -1.80406095e+03  1.56965831e+01
  4.20000000e+00 -1.83792340e+03  1.29061702e+02
  4.30000000e+00 -1.86293867e+03  2.35963620e+02
  4.40000000e+00 -1.87898637e+03  3.30764301e+02
  4.50000000e+00 -1.88598923e+03  4.08464795e+02
  4.60000000e+00 -1.88391355e+03  4.64969248e+02
  4.70000000e+00 -1.87276932e+03  4.97301212e+02
  4.80000000e+00 -1.85261020e+03  5.03760847e+02
  4.90000000e+00 -1.82353320e+03  4.84014686e+02
  5.00000000e+00 -1.78567831e+03  4.39113246e+02
  5.10000000e+00 -1.73922774e+03  3.71435545e+02
  5.20000000e+00 -1.68440510e+03  2.84563446e+02
  5.30000000e+00 -1.62147427e+03  1.83092490e+02
  5.40000000e+00 -1.55073820e+03  7.23891817e+01
  5.50000000e+00 -1.47253737e+03 -4.16924394e+01
  5.60000000e+00 -1.38724823e+03 -1.53119972e+02
  5.70000000e+00 -1.29528133e+03 -2.56001248e+02
  5.80000000e+00 -1.19707936e+03 -3.44895524e+02
  5.90000000e+00 -1.09311504e+03 -4.15100822e+02
  6.00000000e+00 -9.83888815e+02 -4.62902263e+02
  6.10000000e+00 -8.69926473e+02 -4.85768258e+02
  6.20000000e+00 -7.51776586e+02 -4.82484213e+02
  6.30000000e+00 -6.30007892e+02 -4.53216672e+02
  6.40000000e+00 -5.05206544e+02 -3.99504518e+02
  6.50000000e+00 -3.77973296e+02 -3.24177700e+02
  6.60000000e+00 -2.48920607e+02 -2.31207768e+02
  6.70000000e+00 -1.18669695e+02 -1.25498121e+02
  6.80000000e+00  1.21524533e+01 -1.26250377e+01
  6.90000000e+00  1.42916104e+02  1.01456829e+02
  7.00000000e+00  2.72991803e+02  2.10728938e+02
  7.10000000e+00  4.01753407e+02  3.09426722e+02
  7.20000000e+00  5.28581101e+02  3.92344035e+02
  7.30000000e+00  6.52864376e+02  4.55108106e+02
  7.40000000e+00  7.74004975e+02  4.94410481e+02
  7.50000000e+00  8.91419764e+02  5.08181747e+02
  7.60000000e+00  1.00454355e+03  4.95700829e+02
  7.70000000e+00  1.11283178e+03  4.57633064e+02
  7.80000000e+00  1.21576321e+03  3.95995060e+02
  7.90000000e+00  1.31284235e+03  3.14048190e+02
  8.00000000e+00  1.40360188e+03  2.16126341e+02
  8.10000000e+00  1.48760494e+03  1.07407022e+02
  8.20000000e+00  1.56444715e+03 -6.36208087e+00
  8.30000000e+00  1.63375861e+03 -1.19166662e+02
  8.40000000e+00  1.69520569e+03 -2.25043437e+02
  8.50000000e+00  1.74849260e+03 -3.18395089e+02
  8.60000000e+00  1.79336284e+03 -3.94285878e+02
  8.70000000e+00  1.82960041e+03 -4.48702320e+02
  8.80000000e+00  1.85703087e+03 -4.78765153e+02
  8.90000000e+00  1.87552220e+03 -4.82881394e+02
  9.00000000e+00  1.88498536e+03 -4.60828477e+02
  9.10000000e+00  1.88537482e+03 -4.13765998e+02
  9.20000000e+00  1.87668870e+03 -3.44174475e+02
  9.30000000e+00  1.85896880e+03 -2.55724335e+02
  9.40000000e+00  1.83230044e+03 -1.53082069e+02
  9.50000000e+00  1.79681197e+03 -4.16637742e+01
  9.60000000e+00  1.75267423e+03  7.26508963e+01
  9.70000000e+00  1.70009969e+03  1.83829255e+02
  9.80000000e+00  1.63934142e+03  2.86004190e+02
  9.90000000e+00  1.57069190e+03  3.73784031e+02
  1.00000000e+01  1.49448157e+03  4.42537298e+02
  1.01000000e+01  1.41107729e+03  4.88637309e+02
  1.02000000e+01  1.32088055e+03  5.09653714e+02
  1.03000000e+01  1.22432551e+03  5.04480848e+02
  1.04000000e+01  1.12187697e+03  4.73396123e+02
  1.05000000e+01  1.01402808e+03  4.18045373e+02
  1.06000000e+01  9.01297984e+02  3.41355928e+02
  1.07000000e+01  7.84229334e+02  2.47382008e+02
  1.08000000e+01  6.63385658e+02  1.41090602e+02
  1.09000000e+01  5.39348659e+02  2.80991389e+01
  1.10000000e+01  4.12715411e+02 -8.56211909e+01
  1.11000000e+01  2.84095486e+02 -1.94060797e+02
  1.12000000e+01  1.54108017e+02 -2.91489080e+02
  1.13000000e+01  2.33787217e+01 -3.72757083e+02
  1.14000000e+01 -1.07463111e+02 -4.33569431e+02
  1.15000000e+01 -2.37787650e+02 -4.70711180e+02
  1.16000000e+01 -3.66967557e+02 -4.82217611e+02
  1.17000000e+01 -4.94381001e+02 -4.67477992e+02
  1.18000000e+01 -6.19414655e+02 -4.27267828e+02
  1.19000000e+01 -7.41466647e+02 -3.63707904e+02
  1.20000000e+01 -8.59949460e+02 -2.80152276e+02
  1.21000000e+01 -9.74292754e+02 -1.81011124e+02
  1.22000000e+01 -1.08394612e+03 -7.15178401e+01
  1.23000000e+01 -1.18838172e+03  4.25473769e+01
  1.24000000e+01 -1.28709684e+03  1.55162790e+02
  1.25000000e+01 -1.37961629e+03  2.60383159e+02
  1.26000000e+01 -1.46549471e+03  3.52653726e+02
  1.27000000e+01 -1.54431872e+03  4.27103586e+02
  1.28000000e+01 -1.61570888e+03  4.79802936e+02
  1.29000000e+01 -1.67932154e+03  5.07970616e+02
  1.30000000e+01 -1.73485049e+03  5.10120995e+02
  1.31000000e+01 -1.78202843e+03  4.86142428e+02
  1.32000000e+01 -1.82062827e+03  4.37303149e+02
  1.33000000e+01 -1.85046419e+03  3.66184287e+02
  1.34000000e+01 -1.87139258e+03  2.76543547e+02
  1.35000000e+01 -1.88331270e+03  1.73116745e+02
  1.36000000e+01 -1.88616715e+03  6.13676928e+01
  1.37000000e+01 -1.87994221e+03 -5.28003706e+01
  1.38000000e+01 -1.86466784e+03 -1.63356550e+02
  1.39000000e+01 -1.84041756e+03 -2.64460811e+02
  1.40000000e+01 -1.80730811e+03 -3.50772411e+02
  1.41000000e+01 -1.76549887e+03 -4.17731965e+02
  1.42000000e+01 -1.71519108e+03 -4.61802244e+02
  1.43000000e+01 -1.65662693e+03 -4.80654983e+02
  1.44000000e+01 -1.59008830e+03 -4.73293845e+02
  1.45000000e+01 -1.51589551e+03 -4.40107041e+02
  1.46000000e+01 -1.43440569e+03 -3.82846821e+02
  1.47000000e+01 -1.34601111e+03 -3.04536931e+02
  1.48000000e+01 -1.25113727e+03 -2.09312910e+02
  1.49000000e+01 -1.15024085e+03 -1.02203683e+02
  1.50000000e+01 -1.04380756e+03  1.11340464e+01
  1.51000000e+01 -9.32349708e+02  1.24714542e+02
  1.52000000e+01 -8.16403830e+02  2.32539168e+02
  1.53000000e+01 -6.96528049e+02  3.28913202e+02
  1.54000000e+01 -5.73299409e+02  4.08746588e+02
  1.55000000e+01 -4.47311091e+02  4.67822764e+02
  1.56000000e+01 -3.19169563e+02  5.03021355e+02
  1.57000000e+01 -1.89491657e+02  5.12482963e+02
  1.58000000e+01 -5.89015992e+01  4.95707372e+02
  1.59000000e+01  7.19719913e+01  4.53579962e+02
  1.60000000e+01  2.02499132e+02  3.88324943e+02
  1.61000000e+01  3.32051507e+02  3.03387889e+02
  1.62000000e+01  4.60005494e+02  2.03253756e+02
  1.63000000e+01  5.85745163e+02  9.32100183e+01
  1.64000000e+01  7.08665245e+02 -2.09325905e+01
  1.65000000e+01  8.28174043e+02 -1.33146960e+02
  1.66000000e+01  9.43696279e+02 -2.37507920e+02
  1.67000000e+01  1.05467587e+03 -3.28505171e+02
  1.68000000e+01  1.16057859e+03 -4.01334301e+02
  1.69000000e+01  1.26089466e+03 -4.52150525e+02
  1.70000000e+01  1.35514119e+03 -4.78271739e+02
  1.71000000e+01  1.44286452e+03 -4.78320170e+02
  1.72000000e+01  1.52364236e+03 -4.52295138e+02
  1.73000000e+01  1.59708588e+03 -4.01573091e+02
  1.74000000e+01  1.66284155e+03 -3.28834902e+02
  1.75000000e+01  1.72059284e+03 -2.37924284e+02
  1.76000000e+01  1.77006175e+03 -1.33644784e+02
  1.77000000e+01  1.81101016e+03 -2.15060866e+01
  1.78000000e+01  1.84324096e+03  9.25669722e+01
  1.79000000e+01  1.86659899e+03  2.02547321e+02
  1.80000000e+01  1.88097182e+03  3.02623965e+02
  1.81000000e+01  1.88629026e+03  3.87508887e+02
  1.82000000e+01  1.88252871e+03  4.52716325e+02
  1.83000000e+01  1.86970528e+03  4.94799684e+02
  1.84000000e+01  1.84788170e+03  5.11533557e+02
  1.85000000e+01  1.81716301e+03  5.02031260e+02
  1.86000000e+01  1.77769709e+03  4.66791655e+02
  1.87000000e+01  1.72967391e+03  4.07672803e+02
  1.88000000e+01  1.67332464e+03  3.27793828e+02
  1.89000000e+01  1.60892054e+03  2.31370184e+02
  1.90000000e+01  1.53677161e+03  1.23491021e+02
  1.91000000e+01  1.45722516e+03  9.85039966e+00
  1.92000000e+01  1.37066410e+03 -1.03553427e+02
  1.93000000e+01  1.27750511e+03 -2.10734807e+02
  1.94000000e+01  1.17819662e+03 -3.06036815e+02
  1.95000000e+01  1.07321668e+03 -3.84430013e+02
  1.96000000e+01  9.63070626e+02 -4.41778072e+02
  1.97000000e+01  8.48288659e+02 -4.75056227e+02
  1.98000000e+01  7.29423306e+02 -4.82511020e+02
  1.99000000e+01  6.07046746e+02 -4.63752907e+02
  2.00000000e+01  4.81748060e+02 -4.19776827e+02
  2.01000000e+01  3.54130395e+02 -3.52909650e+02
  2.02000000e+01  2.24808062e+02 -2.66687285e+02
