             z_1            v_z1             z_2            v_z2
  1.88632393e+03 -6.80603033e+02 -5.46468523e+01  6.86823639e+02
  1.81377818e+03 -1.73800864e+01  1.41119132e+01 -3.93767738e+02
  1.73250148e+03 -1.42333296e+02  8.28027484e+01 -3.83511035e+02
  1.64288509e+03 -2.66332048e+02  1.51094998e+02 -3.56586740e+02
  1.54536038e+03 -3.82817021e+02  2.18659925e+02 -3.14399824e+02
  1.44039681e+03 -4.85625024e+02  2.85172294e+02 -2.59160942e+02
  1.32849963e+03 -5.69314493e+02  3.50311936e+02 -1.93769681e+02
  1.21020749e+03 -6.29452887e+02  4.13765290e+02 -1.21661417e+02
  1.08608980e+03 -6.62850780e+02  4.75226912e+02 -4.66258896e+01
  9.56744029e+02 -6.67730310e+02  5.34400946e+02  2.73929554e+01
  8.22792803e+02 -6.43819068e+02  5.91002547e+02  9.65052537e+01
  6.84880919e+02 -5.92364491e+02  6.44759254e+02  1.57080661e+02
  5.43672241e+02 -5.16067973e+02  6.95412298e+02  2.05940081e+02
  3.99846501e+02 -4.18942194e+02  7.42717854e+02  2.40523563e+02
  2.54096030e+02 -3.06099195e+02  7.86448206e+02  2.59025500e+02
  1.07122424e+02 -1.83480392e+02  8.26392852e+02  2.60489984e+02
 -4.03668350e+01 -5.75427885e+01  8.62359511e+02  2.44861287e+02
 -1.87661781e+02  6.50820455e+01  8.94175051e+02  2.12986803e+02
 -3.34053383e+02  1.77938206e+02  9.21686322e+02  1.66572285e+02
 -4.78836961e+02  2.75086415e+02  9.44760895e+02  1.08091758e+02
 -6.21315573e+02  3.51417692e+02  9.63287695e+02  4.06568483e+01
 -7.60803373e+02  4.02923176e+02  9.77177541e+02 -3.21475529e+01
 -8.96628912e+02  4.26905840e+02  9.86363571e+02 -1.06452628e+02
 -1.02813837e+03  4.22122930e+02  9.90801567e+02 -1.78309960e+02
 -1.15469870e+03  3.88851592e+02  9.90470165e+02 -2.43900070e+02
 -1.27570069e+03  3.28874229e+02  9.85370962e+02 -2.99734136e+02
 -1.39056187e+03  2.45384361e+02  9.75528502e+02 -3.42838256e+02
 -1.49872934e+03  1.42817954e+02  9.60990165e+02 -3.70910511e+02
 -1.59968241e+03  2.66191413e+01  9.41825934e+02 -3.82442542e+02
 -1.69293512e+03 -9.70473152e+01  9.18128057e+02 -3.76799208e+02
 -1.77803860e+03 -2.21621607e+02  8.90010611e+02 -3.54252138e+02
 -1.85458317e+03 -3.40495335e+02  8.57608942e+02 -3.15965379e+02
 -1.92220039e+03 -4.47360524e+02  8.21079022e+02 -2.63933928e+02
 -1.98056475e+03 -5.36542776e+02  7.80596694e+02 -2.00878359e+02
 -2.02939532e+03 -6.03300958e+02  7.36356827e+02 -1.30101154e+02
 -2.06845704e+03 -6.44077599e+02  6.88572377e+02 -5.53122744e+01
 -2.09756187e+03 -6.56686776e+02  6.37473363e+02  1.95667619e+01
 -2.11656973e+03 -6.40429561e+02  5.83305759e+02  9.06099951e+01
 -2.12538910e+03 -5.96130933e+02  5.26330311e+02  1.54094363e+02
 -2.12397754e+03 -5.26096213e+02  4.66821280e+02  2.06696325e+02
 -2.11234184e+03 -4.33989305e+02  4.05065122e+02  2.45667389e+02
 -2.09053802e+03 -3.24639200e+02  3.41359113e+02  2.68979264e+02
 -2.05867102e+03 -2.03784933e+02  2.76009912e+02  2.75430977e+02
 -2.01689425e+03 -7.77724918e+01  2.09332088e+02  2.64712296e+02
