               t             x_1             y_1             z_1            v_x1            v_y1            v_z1
               0  6.49879533e+01  0.00000000e+00  1.88632393e+03  0.00000000e+00 -4.81323372e+02  0.00000000e+00
  1.00000000e-02  6.49307916e+01 -4.81279423e+00  1.88627851e+03 -1.14318365e+01 -1.14318365e+01 -1.14318365e+01
  2.00000000e-02  6.47593369e+01 -9.62295190e+00  1.88614226e+03 -2.28576000e+01 -2.28576000e+01 -2.28576000e+01
  3.00000000e-02  6.44736801e+01 -1.44278378e+01  1.88591518e+03 -3.42712205e+01 -3.42712205e+01 -3.42712205e+01
  4.00000000e-02  6.40739731e+01 -1.92248197e+01  1.88559728e+03 -4.56666346e+01 -4.56666346e+01 -4.56666346e+01
  5.00000000e-02  6.35604283e+01 -2.40112693e+01  1.88518857e+03 -5.70377886e+01 -5.70377886e+01 -5.70377886e+01
  6.00000000e-02  6.29333184e+01 -2.87845640e+01  1.88468909e+03 -6.83786416e+01 -6.83786416e+01 -6.83786416e+01
  7.00000000e-02  6.21929765e+01 -3.35420882e+01  1.88409884e+03 -7.96831687e+01 -7.96831687e+01 -7.96831687e+01
  8.00000000e-02  6.13397961e+01 -3.82812348e+01  1.88341786e+03 -9.09453643e+01 -9.09453643e+01 -9.09453643e+01
  9.00000000e-02  6.03742303e+01 -4.29994061e+01  1.88264619e+03 -1.02159246e+02 -1.02159246e+02 -1.02159246e+02
  1.00000000e-01  5.92967921e+01 -4.76940158e+01  1.88178386e+03 -1.13318855e+02 -1.13318855e+02 -1.13318855e+02
  1.10000000e-01  5.81080539e+01 -5.23624902e+01  1.88083090e+03 -1.24418263e+02 -1.24418263e+02 -1.24418263e+02
  1.20000000e-01  5.68086472e+01 -5.70022691e+01  1.87978738e+03 -1.35451574e+02 -1.35451574e+02 -1.35451574e+02
  1.30000000e-01  5.53992623e+01 -6.16108077e+01  1.87865333e+03 -1.46412927e+02 -1.46412927e+02 -1.46412927e+02
  1.40000000e-01  5.38806479e+01 -6.61855780e+01  1.87742881e+03 -1.57296496e+02 -1.57296496e+02 -1.57296496e+02
  1.50000000e-01  5.22536109e+01 -7.07240696e+01  1.87611388e+03 -1.68096501e+02 -1.68096501e+02 -1.68096501e+02
  1.60000000e-01  5.05190156e+01 -7.52237914e+01  1.87470861e+03 -1.78807203e+02 -1.78807203e+02 -1.78807203e+02
  1.70000000e-01  4.86777835e+01 -7.96822730e+01  1.87321306e+03 -1.89422912e+02 -1.89422912e+02 -1.89422912e+02
  1.80000000e-01  4.67308928e+01 -8.40970658e+01  1.87162730e+03 -1.99937987e+02 -1.99937987e+02 -1.99937987e+02
  1.90000000e-01  4.46793779e+01 -8.84657444e+01  1.86995141e+03 -2.10346842e+02 -2.10346842e+02 -2.10346842e+02
  2.00000000e-01  4.25243285e+01 -9.27859077e+01  1.86818548e+03 -2.20643947e+02 -2.20643947e+02 -2.20643947e+02
  2.10000000e-01  4.02668897e+01 -9.70551807e+01  1.86632958e+03 -2.30823830e+02 -2.30823830e+02 -2.30823830e+02
  2.20000000e-01  3.79082607e+01 -1.01271215e+02  1.86438380e+03 -2.40881082e+02 -2.40881082e+02 -2.40881082e+02
  2.30000000e-01  3.54496946e+01 -1.05431691e+02  1.86234825e+03 -2.50810360e+02 -2.50810360e+02 -2.50810360e+02
  2.40000000e-01  3.28924977e+01 -1.09534318e+02  1.86022301e+03 -2.60606387e+02 -2.60606387e+02 -2.60606387e+02
