             x_1             y_1             x_2             y_2
  6.49879533e+01 -1.09611891e+03 -2.48947846e+02 -7.95146244e+02
  6.59497769e+01 -1.10095717e+03 -2.52823623e+02 -7.95503186e+02
  6.67961057e+01 -1.10584371e+03 -2.56713187e+02 -7.95785793e+02
  6.75258299e+01 -1.11077585e+03 -2.60614838e+02 -7.95993757e+02
  6.81379014e+01 -1.11575090e+03 -2.64526871e+02 -7.96126816e+02
  6.86313349e+01 -1.12076611e+03 -2.68447573e+02 -7.96184741e+02
  6.90052077e+01 -1.12581876e+03 -2.72375227e+02 -7.96167347e+02
  6.92586611e+01 -1.13090607e+03 -2.76308112e+02 -7.96074486e+02
  6.93909000e+01 -1.13602526e+03 -2.80244505e+02 -7.95906051e+02
  6.94011938e+01 -1.14117352e+03 -2.84182679e+02 -7.95661974e+02
  6.92888767e+01 -1.14634802e+03 -2.88120908e+02 -7.95342227e+02
  6.90533481e+01 -1.15154594e+03 -2.92057464e+02 -7.94946822e+02
  6.86940728e+01 -1.15676443e+03 -2.95990622e+02 -7.94475811e+02
  6.82105814e+01 -1.16200063e+03 -2.99918656e+02 -7.93929284e+02
  6.76024702e+01 -1.16725166e+03 -3.03839844e+02 -7.93307373e+02
  6.68694022e+01 -1.17251466e+03 -3.07752468e+02 -7.92610249e+02
  6.60111063e+01 -1.17778672e+03 -3.11654813e+02 -7.91838120e+02
  6.50273783e+01 -1.18306497e+03 -3.15545171e+02 -7.90991238e+02
  6.39180804e+01 -1.18834651e+03 -3.19421837e+02 -7.90069890e+02
  6.26831416e+01 -1.19362844e+03 -3.23283117e+02 -7.89074404e+02
  6.13225577e+01 -1.19890786e+03 -3.27127323e+02 -7.88005148e+02
  5.98363912e+01 -1.20418188e+03 -3.30952776e+02 -7.86862527e+02
  5.82247712e+01 -1.20944760e+03 -3.34757807e+02 -7.85646985e+02
  5.64878937e+01 -1.21470212e+03 -3.38540756e+02 -7.84359004e+02
  5.46260211e+01 -1.21994257e+03 -3.42299979e+02 -7.82999105e+02
  5.26394822e+01 -1.22516605e+03 -3.46033839e+02 -7.81567847e+02
