             x_1             y_1             z_1             x_2             y_2             z_2
  6.49879533e+01 -1.09611891e+03  1.88632393e+03 -2.48947846e+02 -7.95146244e+02 -5.46468523e+01
  6.59497769e+01 -1.10095717e+03  1.87947254e+03 -2.52823623e+02 -7.95503186e+02 -4.77773553e+01
  6.67961057e+01 -1.10584371e+03  1.87253064e+03 -2.56713187e+02 -7.95785793e+02 -4.09055575e+01
  6.75258299e+01 -1.11077585e+03  1.86549856e+03 -2.60614838e+02 -7.95993757e+02 -3.40317898e+01
  6.81379014e+01 -1.11575090e+03  1.85837665e+03 -2.64526871e+02 -7.96126816e+02 -2.71563833e+01
  6.86313349e+01 -1.12076611e+03  1.85116525e+03 -2.68447573e+02 -7.96184741e+02 -2.02796691e+01
  6.90052077e+01 -1.12581876e+03  1.84386470e+03 -2.72375227e+02 -7.96167347e+02 -1.34019783e+01
  6.92586611e+01 -1.13090607e+03  1.83647536e+03 -2.76308112e+02 -7.96074486e+02 -6.52364207e+00
  6.93909000e+01 -1.13602526e+03  1.82899758e+03 -2.80244505e+02 -7.95906051e+02  3.55008282e-01
  6.94011938e+01 -1.14117352e+03  1.82143173e+03 -2.84182679e+02 -7.95661974e+02  7.23364154e+00
  6.92888767e+01 -1.14634802e+03  1.81377816e+03 -2.88120908e+02 -7.95342227e+02  1.41119264e+01
  6.90533481e+01 -1.15154594e+03  1.80603725e+03 -2.92057464e+02 -7.94946822e+02  2.09895318e+01
  6.86940728e+01 -1.15676443e+03  1.79820937e+03 -2.95990622e+02 -7.94475811e+02  2.78661264e+01
  6.82105814e+01 -1.16200063e+03  1.79029490e+03 -2.99918656e+02 -7.93929284e+02  3.47413790e+01
  6.76024702e+01 -1.16725166e+03  1.78229421e+03 -3.03839844e+02 -7.93307373e+02  4.16149587e+01
  6.68694022e+01 -1.17251466e+03  1.77420769e+03 -3.07752468e+02 -7.92610249e+02  4.84865343e+01
  6.60111063e+01 -1.17778672e+03  1.76603573e+03 -3.11654813e+02 -7.91838120e+02  5.53557750e+01
  6.50273783e+01 -1.18306497e+03  1.75777873e+03 -3.15545171e+02 -7.90991238e+02  6.22223501e+01
  6.39180804e+01 -1.18834651e+03  1.74943708e+03 -3.19421837e+02 -7.90069890e+02  6.90859287e+01
  6.26831416e+01 -1.19362844e+03  1.74101119e+03 -3.23283117e+02 -7.89074404e+02  7.59461805e+01
  6.13225577e+01 -1.19890786e+03  1.73250145e+03 -3.27127323e+02 -7.88005148e+02  8.28027750e+01
  5.98363912e+01 -1.20418188e+03  1.72390829e+03 -3.30952776e+02 -7.86862527e+02  8.96553820e+01
  5.82247712e+01 -1.20944760e+03  1.71523211e+03 -3.34757807e+02 -7.85646985e+02  9.65036716e+01
  5.64878937e+01 -1.21470212e+03  1.70647333e+03 -3.38540756e+02 -7.84359004e+02  1.03347314e+02
  5.46260211e+01 -1.21994257e+03  1.69763237e+03 -3.42299979e+02 -7.82999105e+02  1.10185980e+02
  5.26394822e+01 -1.22516605e+03  1.68870966e+03 -3.46033839e+02 -7.81567847e+02  1.17019339e+02
  5.05286721e+01 -1.23036971e+03  1.67970564e+03 -3.49740715e+02 -7.80065825e+02  1.23847063e+02
  4.82940519e+01 -1.23555068e+03  1.67062072e+03 -3.53419002e+02 -7.78493671e+02  1.30668824e+02
  4.59361484e+01 -1.24070611e+03  1.66145535e+03 -3.57067106e+02 -7.76852057e+02  1.37484292e+02
  4.34555541e+01 -1.24583315e+03  1.65220998e+03 -3.60683451e+02 -7.75141687e+02  1.44293139e+02
  4.08529266e+01 -1.25092900e+03  1.64288504e+03 -3.64266478e+02 -7.73363304e+02  1.51095038e+02
  3.81289882e+01 -1.25599084e+03  1.63348098e+03 -3.67814645e+02 -7.71517687e+02  1.57889660e+02
  3.52845259e+01 -1.26101588e+03  1.62399827e+03 -3.71326428e+02 -7.69605648e+02  1.64676679e+02
  3.23203906e+01 -1.26600135e+03  1.61443735e+03 -3.74800322e+02 -7.67628036e+02  1.71455768e+02
  2.92374969e+01 -1.27094451e+03  1.60479868e+03 -3.78234843e+02 -7.65585734e+02  1.78226601e+02
  2.60368223e+01 -1.27584261e+03  1.59508274e+03 -3.81628527e+02 -7.63479657e+02  1.84988851e+02
  2.27194071e+01 -1.28069296e+03  1.58528998e+03 -3.84979931e+02 -7.61310756e+02  1.91742192e+02
  1.92863536e+01 -1.28549288e+03  1.57542088e+03 -3.88287635e+02 -7.59080014e+02  1.98486300e+02
  1.57388255e+01 -1.29023970e+03  1.56547591e+03 -3.91550242e+02 -7.56788446e+02  2.05220850e+02
  1.20780473e+01 -1.29493081e+03  1.55545556e+03 -3.94766378e+02 -7.54437099e+02  2.11945517e+02
  8.30530390e+00 -1.29956360e+03  1.54536031e+03 -3.97934695e+02 -7.52027052e+02  2.18659978e+02
  4.42193950e+00 -1.30413551e+03  1.53519063e+03 -4.01053868e+02 -7.49559415e+02  2.25363908e+02
  4.29357179e-01 -1.30864400e+03  1.52494703e+03 -4.04122600e+02 -7.47035326e+02  2.32056987e+02
 -3.67098194e+00 -1.31308656e+03  1.51462999e+03 -4.07139619e+02 -7.44455956e+02  2.38738890e+02
 -7.87755945e+00 -1.31746073e+03  1.50424001e+03 -4.10103682e+02 -7.41822502e+02  2.45409297e+02
 -1.21888005e+01 -1.32176408e+03  1.49377760e+03 -4.13013572e+02 -7.39136190e+02  2.52067886e+02
 -1.66030745e+01 -1.32599419e+03  1.48324325e+03 -4.15868101e+02 -7.36398274e+02  2.58714336e+02
 -2.11186962e+01 -1.33014873e+03  1.47263747e+03 -4.18666111e+02 -7.33610037e+02  2.65348327e+02
 -2.57339264e+01 -1.33422536e+03  1.46196078e+03 -4.21406474e+02 -7.30772784e+02  2.71969541e+02
 -3.04469729e+01 -1.33822181e+03  1.45121369e+03 -4.24088091e+02 -7.27887849e+02  2.78577657e+02
