             y_1            v_y1             y_2            v_y2
 -1.09611891e+03 -4.81323372e+02 -7.95146244e+02 -3.93999568e+01
 -1.10095717e+03  9.04266310e+01 -7.95503186e+02 -3.88295291e+02
 -1.10584371e+03  7.88206355e+01 -7.95785793e+02 -3.89589181e+02
 -1.11077585e+03  6.71067346e+01 -7.95993757e+02 -3.90712730e+02
 -1.11575090e+03  5.52911513e+01 -7.96126816e+02 -3.91665326e+02
 -1.12076611e+03  4.33801624e+01 -7.96184741e+02 -3.92446446e+02
 -1.12581876e+03  3.13800955e+01 -7.96167347e+02 -3.93055661e+02
 -1.13090607e+03  1.92973255e+01 -7.96074486e+02 -3.93492630e+02
 -1.13602526e+03  7.13827133e+00 -7.95906051e+02 -3.93757106e+02
 -1.14117352e+03 -5.09060764e+00 -7.95661974e+02 -3.93848931e+02
 -1.14634802e+03 -1.73828149e+01 -7.95342227e+02 -3.93768041e+02
 -1.15154594e+03 -2.97318202e+01 -7.94946822e+02 -3.93514463e+02
 -1.15676443e+03 -4.21310633e+01 -7.94475811e+02 -3.93088313e+02
 -1.16200063e+03 -5.45739569e+01 -7.93929284e+02 -3.92489801e+02
 -1.16725166e+03 -6.70538909e+01 -7.93307373e+02 -3.91719229e+02
 -1.17251466e+03 -7.95642350e+01 -7.92610249e+02 -3.90776988e+02
 -1.17778672e+03 -9.20983431e+01 -7.91838120e+02 -3.89663562e+02
 -1.18306497e+03 -1.04649556e+02 -7.90991238e+02 -3.88379524e+02
 -1.18834651e+03 -1.17211206e+02 -7.90069890e+02 -3.86925540e+02
 -1.19362844e+03 -1.29776620e+02 -7.89074404e+02 -3.85302362e+02
 -1.19890786e+03 -1.42339120e+02 -7.88005148e+02 -3.83510836e+02
 -1.20418188e+03 -1.54892034e+02 -7.86862527e+02 -3.81551896e+02
 -1.20944760e+03 -1.67428692e+02 -7.85646985e+02 -3.79426562e+02
 -1.21470212e+03 -1.79942433e+02 -7.84359004e+02 -3.77135946e+02
 -1.21994257e+03 -1.92426609e+02 -7.82999105e+02 -3.74681247e+02
 -1.22516605e+03 -2.04874586e+02 -7.81567847e+02 -3.72063748e+02
 -1.23036971e+03 -2.17279751e+02 -7.80065825e+02 -3.69284822e+02
 -1.23555068e+03 -2.29635512e+02 -7.78493671e+02 -3.66345925e+02
 -1.24070611e+03 -2.41935305e+02 -7.76852057e+02 -3.63248599e+02
 -1.24583315e+03 -2.54172593e+02 -7.75141687e+02 -3.59994471e+02
 -1.25092900e+03 -2.66340874e+02 -7.73363304e+02 -3.56585249e+02
 -1.25599084e+03 -2.78433683e+02 -7.71517687e+02 -3.53022724e+02
 -1.26101588e+03 -2.90444594e+02 -7.69605648e+02 -3.49308769e+02
 -1.26600135e+03 -3.02367223e+02 -7.67628036e+02 -3.45445337e+02
