             x_1            v_x1             x_2            v_x2
  6.49879533e+01  1.01918556e+02 -2.48947846e+02 -3.86831762e+02
  6.59497786e+01  9.04269781e+01 -2.52823624e+02 -3.88295638e+02
  6.67961126e+01  7.88213098e+01 -2.56713194e+02 -3.89589856e+02
  6.75258450e+01  6.71077171e+01 -2.60614854e+02 -3.90713713e+02
  6.81379279e+01  5.52924235e+01 -2.64526898e+02 -3.91666598e+02
  6.86313754e+01  4.33817066e+01 -2.68447614e+02 -3.92447991e+02
  6.90052650e+01  3.13818947e+01 -2.72375285e+02 -3.93057460e+02
  6.92587375e+01  1.92993633e+01 -2.76308189e+02 -3.93494668e+02
  6.93909979e+01  7.14053182e+00 -2.80244603e+02 -3.93759366e+02
  6.94013154e+01 -5.08813977e+00 -2.84182801e+02 -3.93851399e+02
  6.92890239e+01 -1.73801544e+01 -2.88121055e+02 -3.93770702e+02
  6.90535229e+01 -2.97289815e+01 -2.92057639e+02 -3.93517301e+02
  6.86942768e+01 -4.21280600e+01 -2.95990826e+02 -3.93091316e+02
  6.82108161e+01 -5.45708025e+01 -2.99918891e+02 -3.92492956e+02
  6.76027372e+01 -6.70505981e+01 -3.03840111e+02 -3.91722522e+02
  6.68697027e+01 -7.95608164e+01 -3.07752769e+02 -3.90780407e+02
  6.60114416e+01 -9.20948107e+01 -3.11655149e+02 -3.89667094e+02
  6.50277494e+01 -1.04645922e+02 -3.15545542e+02 -3.88383159e+02
  6.39184884e+01 -1.17207481e+02 -3.19422245e+02 -3.86929265e+02
  6.26835872e+01 -1.29772814e+02 -3.23283563e+02 -3.85306168e+02
  6.13230417e+01 -1.42335245e+02 -3.27127807e+02 -3.83514711e+02
  5.98369143e+01 -1.54888100e+02 -3.30953299e+02 -3.81555830e+02
  5.82253339e+01 -1.67424709e+02 -3.34758369e+02 -3.79430546e+02
  5.64884964e+01 -1.79938410e+02 -3.38541359e+02 -3.77139970e+02
  5.46266642e+01 -1.92422555e+02 -3.42300622e+02 -3.74685301e+02
  5.26401660e+01 -2.04870510e+02 -3.46034522e+02 -3.72067824e+02
  5.05293967e+01 -2.17275661e+02 -3.49741440e+02 -3.69288911e+02
  4.82948174e+01 -2.29631418e+02 -3.53419767e+02 -3.66350019e+02
  4.59369549e+01 -2.41931213e+02 -3.57067912e+02 -3.63252691e+02
  4.34564015e+01 -2.54168512e+02 -3.60684298e+02 -3.59998552e+02
  4.08538147e+01 -2.66336811e+02 -3.64267366e+02 -3.56589312e+02
  3.81299168e+01 -2.78429645e+02 -3.67815574e+02 -3.53026762e+02
  3.52854947e+01 -2.90440587e+02 -3.71327397e+02 -3.49312775e+02
  3.23213993e+01 -3.02363255e+02 -3.74801331e+02 -3.45449305e+02
  2.92385450e+01 -3.14191312e+02 -3.78235891e+02 -3.41438383e+02
  2.60379094e+01 -3.25918473e+02 -3.81629614e+02 -3.37282120e+02
  2.27205327e+01 -3.37538505e+02 -3.84981056e+02 -3.32982704e+02
  1.92875170e+01 -3.49045232e+02 -3.88288798e+02 -3.28542398e+02
  1.57400261e+01 -3.60432539e+02 -3.91551443e+02 -3.23963541e+02
  1.20792845e+01 -3.71694373e+02 -3.94767615e+02 -3.19248543e+02
  8.30657687e+00 -3.82824748e+02 -3.97935968e+02 -3.14399889e+02
  4.42324747e+00 -3.93817748e+02 -4.01055176e+02 -3.09420134e+02
  4.30699318e-01 -4.04667530e+02 -4.04123942e+02 -3.04311901e+02
 -3.66960649e+00 -4.15368326e+02 -4.07140995e+02 -2.99077883e+02
 -7.87615160e+00 -4.25914447e+02 -4.10105090e+02 -2.93720839e+02
 -1.21873611e+01 -4.36300288e+02 -4.13015011e+02 -2.88243593e+02
 -1.66016046e+01 -4.46520325e+02 -4.15869571e+02 -2.82649034e+02
 -2.11171968e+01 -4.56569126e+02 -4.18667610e+02 -2.76940110e+02
 -2.57323985e+01 -4.66441347e+02 -4.21408002e+02 -2.71119833e+02
 -3.04454176e+01 -4.76131740e+02 -4.24089646e+02 -2.65191273e+02
 -3.52544100e+01 -4.85635150e+02 -4.26711477e+02 -2.59157557e+02
 -4.01574805e+01 -4.94946525e+02 -4.29272457e+02 -2.53021868e+02
 -4.51526839e+01 -5.04060911e+02 -4.31771585e+02 -2.46787442e+02
 -5.02380259e+01 -5.12973462e+02 -4.34207888e+02 -2.40457570e+02
 -5.54114645e+01 -5.21679436e+02 -4.36580429e+02 -2.34035592e+02
 -6.06709106e+01 -5.30174202e+02 -4.38888304e+02 -2.27524895e+02
 -6.60142294e+01 -5.38453242e+02 -4.41130643e+02 -2.20928916e+02
 -7.14392416e+01 -5.46512149e+02 -4.43306610e+02 -2.14251136e+02
 -7.69437243e+01 -5.54346637e+02 -4.45415405e+02 -2.07495080e+02
 -8.25254123e+01 -5.61952535e+02 -4.47456262e+02 -2.00664313e+02
 -8.81819995e+01 -5.69325796e+02 -4.49428454e+02 -1.93762440e+02
 -9.39111397e+01 -5.76462495e+02 -4.51331286e+02 -1.86793106e+02
 -9.97104481e+01 -5.83358832e+02 -4.53164103e+02 -1.79759989e+02
 -1.05577503e+02 -5.90011136e+02 -4.54926286e+02 -1.72666801e+02
 -1.11509846e+02 -5.96415864e+02 -4.56617252e+02 -1.65517289e+02
 -1.17504983e+02 -6.02569604e+02 -4.58236456e+02 -1.58315225e+02
 -1.23560390e+02 -6.08469079e+02 -4.59783394e+02 -1.51064413e+02
 -1.29673507e+02 -6.14111144e+02 -4.61257595e+02 -1.43768681e+02
 -1.35841745e+02 -6.19492793e+02 -4.62658630e+02 -1.36431880e+02
 -1.42062485e+02 -6.24611157e+02 -4.63986109e+02 -1.29057886e+02
 -1.48333081e+02 -6.29463505e+02 -4.65239677e+02 -1.21650591e+02
 -1.54650860e+02 -6.34047251e+02 -4.66419022e+02 -1.14213907e+02
 -1.61013123e+02 -6.38359946e+02 -4.67523870e+02 -1.06751760e+02
 -1.67417148e+02 -6.42399289e+02 -4.68553986e+02 -9.92680921e+01
 -1.73860190e+02 -6.46163122e+02 -4.69509174e+02 -9.17668541e+01
 -1.80339485e+02 -6.49649434e+02 -4.70389278e+02 -8.42520077e+01
 -1.86852247e+02 -6.52856359e+02 -4.71194182e+02 -7.67275213e+01
 -1.93395675e+02 -6.55782181e+02 -4.71923809e+02 -6.91973688e+01
 -1.99966949e+02 -6.58425333e+02 -4.72578123e+02 -6.16655270e+01
 -2.06563235e+02 -6.60784396e+02 -4.73157127e+02 -5.41359738e+01
 -2.13181685e+02 -6.62858103e+02 -4.73660864e+02 -4.66126860e+01
 -2.19819442e+02 -6.64645338e+02 -4.74089415e+02 -3.90996372e+01
 -2.26473634e+02 -6.66145136e+02 -4.74442904e+02 -3.16007958e+01
 -2.33141383e+02 -6.67356684e+02 -4.74721492e+02 -2.41201227e+01
 -2.39819804e+02 -6.68279323e+02 -4.74925380e+02 -1.66615696e+01
 -2.46506005e+02 -6.68912545e+02 -4.75054810e+02 -9.22907667e+00
 -2.53197089e+02 -6.69255996e+02 -4.75110062e+02 -1.82657064e+00
 -2.59890158e+02 -6.69309476e+02 -4.75091455e+02  5.54203729e+00
 -2.66582312e+02 -6.69072936e+02 -4.74999347e+02  1.28728534e+01
 -2.73270650e+02 -6.68546483e+02 -4.74834137e+02  2.01620035e+01
 -2.79952276e+02 -6.67730375e+02 -4.74596259e+02  2.74056347e+01
 -2.86624294e+02 -6.66625023e+02 -4.74286188e+02  3.45999175e+01
 -2.93283814e+02 -6.65230991e+02 -4.73904438e+02  4.17410475e+01
 -2.99927953e+02 -6.63548994e+02 -4.73451557e+02  4.88252472e+01
 -3.06553837e+02 -6.61579898e+02 -4.72928135e+02  5.58487680e+01
 -3.13158598e+02 -6.59324721e+02 -4.72334797e+02  6.28078914e+01
 -3.19739381e+02 -6.56784628e+02 -4.71672205e+02  6.96989308e+01
 -3.26293345e+02 -6.53960934e+02 -4.70941058e+02  7.65182328e+01
 -3.32817659e+02 -6.50855100e+02 -4.70142091e+02  8.32621782e+01
 -3.39309511e+02 -6.47468730e+02 -4.69276078e+02  8.99271832e+01
 -3.45766104e+02 -6.43803574e+02 -4.68343823e+02  9.65096994e+01
 -3.52184659e+02 -6.39861518e+02 -4.67346171e+02  1.03006214e+02
 -3.58562418e+02 -6.35644586e+02 -4.66283998e+02  1.09413249e+02
 -3.64896641e+02 -6.31154933e+02 -4.65158216e+02  1.15727360e+02
 -3.71184614e+02 -6.26394836e+02 -4.63969772e+02  1.21945128e+02
 -3.77423643e+02 -6.21366688e+02 -4.62719647e+02  1.28063159e+02
 -3.83611061e+02 -6.16072980e+02 -4.61408854e+02  1.34078068e+02
 -3.89744225e+02 -6.10516279e+02 -4.60038442e+02  1.39986460e+02
 -3.95820517e+02 -6.04699191e+02 -4.58609494e+02  1.45784895e+02
 -4.01837346e+02 -5.98624298e+02 -4.57123126e+02  1.51469829e+02
 -4.07792147e+02 -5.92294033e+02 -4.55580492e+02  1.57037495e+02
 -4.13682376e+02 -5.85710450e+02 -4.53982787e+02  1.62483672e+02
 -4.19505505e+02 -5.78874698e+02 -4.52331251e+02  1.67803163e+02
 -4.25259008e+02 -5.71785725e+02 -4.50627189e+02  1.72988507e+02
 -4.30940316e+02 -5.64436409e+02 -4.48872010e+02  1.78026106e+02
 -4.36546684e+02 -5.56798387e+02 -4.47067366e+02  1.82881066e+02
 -4.42074487e+02 -5.48724268e+02 -4.45215853e+02  1.87399404e+02
 -4.47504416e+02 -5.37224257e+02 -4.43335821e+02  1.88584683e+02
 -4.52845776e+02 -5.31011313e+02 -4.41417068e+02  1.95143170e+02
 -4.58115272e+02 -5.22851952e+02 -4.39442064e+02  1.99834646e+02
 -4.63301276e+02 -5.14313869e+02 -4.37421673e+02  2.04220024e+02
 -4.68400617e+02 -5.05519891e+02 -4.35358376e+02  2.08415314e+02
 -4.73410895e+02 -4.96502312e+02 -4.33253948e+02  2.12445959e+02
 -4.78329949e+02 -4.87275651e+02 -4.31109998e+02  2.16319593e+02
 -4.83155732e+02 -4.77849088e+02 -4.28928082e+02  2.20038485e+02
 -4.87886282e+02 -4.68229797e+02 -4.26709749e+02  2.23602875e+02
 -4.92519702e+02 -4.58424096e+02 -4.24456546e+02  2.27012125e+02
 -4.97054159e+02 -4.48437914e+02 -4.22170030e+02  2.30265194e+02
