         Sample#               E               M           <eps>             <m>             C_V        Suscept.
               0            -800             400            -nan            -nan            -nan            -nan
             100            -800             400         -1.9964           0.999        0.029216          0.0026
             200            -800             400          -1.997          0.9992          0.0232        0.001844
             300            -800             400        -1.99703        0.999217       0.0224796      0.00172122
             400            -800             400        -1.99683        0.999175       0.0230677      0.00167775
             500            -800             400        -1.99706         0.99924       0.0214226      0.00152896
             600            -792             398        -1.99697        0.999217       0.0229862      0.00162122
             700            -800             400        -1.99719        0.999271       0.0215748      0.00153053
             800            -800             400        -1.99726        0.999294       0.0208524      0.00146298
             900            -800             400        -1.99717        0.999267       0.0218111      0.00154044
            1000            -800             400        -1.99721        0.999275       0.0220464      0.00157975
            1100            -800             400        -1.99724        0.999282       0.0220358       0.0015755
            1200            -800             400         -1.9973          0.9993       0.0214173      0.00152067
            1300            -800             400        -1.99737        0.999319       0.0208009      0.00146847
            1400            -800             400        -1.99721        0.999275       0.0220514      0.00156832
            1500            -800             400        -1.99734         0.99931       0.0210898      0.00149623
            1600            -800             400        -1.99734        0.999312       0.0209027      0.00147344
            1700            -800             400        -1.99735        0.999315       0.0207737      0.00146509
            1800            -800             400         -1.9973        0.999303       0.0211284      0.00147777
            1900            -800             400        -1.99728          0.9993       0.0212603      0.00147768
            2000            -800             400        -1.99723        0.999287       0.0225708      0.00155194
            2100            -800             400        -1.99719        0.999276         0.02287      0.00157139
            2200            -800             400        -1.99714        0.999259        0.023803      0.00170769
            2300            -800             400        -1.99711         0.99925       0.0240474      0.00172717
            2400            -792             398        -1.99715         0.99926       0.0236582      0.00169371
            2500            -800             400        -1.99717        0.999268        0.023345      0.00166567
            2600            -800             400        -1.99723        0.999283       0.0230009       0.0016365
            2700            -800             400        -1.99724        0.999287       0.0229183      0.00163001
            2800            -800             400        -1.99721        0.999279       0.0231086      0.00163467
            2900            -800             400        -1.99717        0.999269       0.0239863      0.00168279
            3000            -800             400        -1.99721        0.999282       0.0235605      0.00165027
            3100            -800             400        -1.99721        0.999282       0.0234219      0.00163587
            3200            -800             400        -1.99727        0.999298       0.0229298          0.0016
            3300            -800             400         -1.9973        0.999305       0.0226775      0.00157926
            3400            -800             400        -1.99734        0.999315       0.0223362      0.00155333
            3500            -800             400        -1.99739         0.99933       0.0218784      0.00152044
            3600            -800             400        -1.99739        0.999329       0.0218062      0.00151166
            3700            -800             400        -1.99741        0.999335       0.0216644      0.00149886
            3800            -800             400        -1.99745        0.999346       0.0213202      0.00147368
            3900            -800             400        -1.99733        0.999315       0.0224574      0.00154073
            4000            -800             400        -1.99732        0.999314       0.0224224      0.00153912
            4100            -800             400         -1.9973         0.99931       0.0227433      0.00155577
            4200            -800             400        -1.99732        0.999314       0.0225491      0.00154049
            4300            -800             400        -1.99735        0.999322       0.0222818      0.00152083
            4400            -800             400        -1.99734        0.999319        0.022485      0.00153058
            4500            -800             400        -1.99736        0.999324        0.022283      0.00151523
            4600            -800             400        -1.99733        0.999316       0.0224792      0.00152824
            4700            -800             400         -1.9973         0.99931       0.0227567      0.00155188
            4800            -800             400        -1.99734        0.999319       0.0224644      0.00153103
            4900            -800             400        -1.99733        0.999317       0.0224357      0.00152992
            5000            -800             400        -1.99731        0.999313       0.0225942      0.00153721
            5100            -800             400         -1.9973        0.999311       0.0227003      0.00154137
            5200            -800             400         -1.9973         0.99931       0.0229029      0.00155166
            5300            -800             400        -1.99731        0.999311       0.0228623      0.00154991
            5400            -792             398        -1.99731        0.999313       0.0227524      0.00154082
            5500            -800             400        -1.99733        0.999319         0.02254      0.00152545
            5600            -800             400        -1.99736        0.999326       0.0223137       0.0015093
            5700            -800             400        -1.99739        0.999332       0.0221509      0.00149719
            5800            -800             400        -1.99735        0.999322        0.022432      0.00152106
            5900            -800             400        -1.99734        0.999319       0.0225267      0.00152493
            6000            -800             400        -1.99731        0.999311        0.022885      0.00155502
