         Sample#               E               M           <eps>             <m>             C_V        Suscept.
               0             -36              -4            -nan            -nan            -nan            -nan
             100            -552             242         -1.1833         0.41105         2.16515         7.20761
             200            -464             188        -1.14855          0.3294         1.46246         6.13644
             300            -412             104        -1.19363          0.4115         1.83202         7.36313
             400            -516            -242         -1.1845        0.396963         1.76405         7.84885
             500            -496            -214        -1.23016         0.46564         2.25494         9.67277
             600            -468            -166        -1.23795        0.486075         2.04794         8.61761
             700            -508            -236        -1.25071        0.508007         2.07564         8.51061
             800            -472            -118        -1.24625        0.500981         1.94753         8.27708
             900            -488            -242        -1.24313        0.493467         1.86129         8.25318
            1000            -424            -116        -1.24079         0.49508         1.75732         7.77412
            1100            -628            -324         -1.2344            0.48         1.76666         8.32267
            1200            -616            -330        -1.23692        0.489983         1.74661         8.06348
            1300            -476             102        -1.23167        0.476004         1.75991         8.70654
            1400            -496             252        -1.22809        0.474329         1.69928         8.31544
            1500            -544             288        -1.23055         0.48125         1.65956         8.02436
            1600            -648             352        -1.23843        0.494413         1.67406         8.01366
            1700            -420             160         -1.2421        0.500438         1.68083         7.88933
            1800            -456             220        -1.24821        0.510431          1.6858         7.83697
            1900            -560             298        -1.25419        0.517468         1.67638          7.6404
            2000            -464             128        -1.25618         0.52024         1.74911         7.77557
            2100            -516             184        -1.25164        0.513836         1.73527          7.6815
            2200            -484             244        -1.24901        0.509214         1.69832          7.4969
            2300            -436             214        -1.25484        0.516972         1.70507         7.46907
            2400            -492             120        -1.25448        0.517077         1.68088         7.30208
            2500            -572            -308        -1.25528        0.514064          1.6749         7.34629
            2600            -428              14        -1.25638        0.514727         1.67069         7.37322
            2700            -492             168        -1.25354        0.507546         1.64316         7.47904
            2800            -580             334        -1.25304        0.506543         1.63634         7.39891
            2900            -476            -126        -1.25129        0.505914         1.64752         7.41523
            3000            -476            -126        -1.24889        0.496722         1.62191         7.70623
            3100            -420            -108        -1.24662        0.489769         1.60671         7.74877
            3200            -508            -118        -1.24362        0.479295         1.59125         8.13236
            3300            -416             -56         -1.2433         0.47653         1.56804         8.02426
            3400            -552            -210        -1.24121          0.4711         1.55817         8.02793
            3500            -428            -162        -1.23933        0.465689         1.54045         8.09445
            3600            -496            -242        -1.24025        0.469426         1.53524         8.02334
            3700            -432             -30        -1.24252         0.47245         1.57446         8.19462
            3800            -516            -242        -1.24193        0.470767         1.56134         8.23407
            3900            -368              26        -1.24336        0.472388         1.57349         8.30348
            4000            -464            -204        -1.24107        0.470094          1.5743          8.2353
            4100            -496            -162        -1.24357        0.475116         1.58653         8.25819
            4200            -464            -128        -1.24206        0.471915         1.58072         8.22601
            4300            -588            -300        -1.24034        0.470345         1.57154         8.15275
            4400            -496            -186        -1.23996        0.468736         1.54948         8.09833
            4500            -440             -52        -1.23944        0.468394         1.54358         8.08793
            4600            -436              24        -1.23694        0.460627         1.54287         8.38153
            4700            -464             -38        -1.23453        0.454385         1.54726         8.55161
            4800            -556            -312        -1.23241        0.451506         1.55382         8.59731
            4900            -552            -284         -1.2345        0.456111         1.55149         8.61407
            5000            -532            -244        -1.23653        0.459972         1.56162         8.63988
            5100            -544            -280        -1.23903        0.464407         1.56828         8.65951
            5200            -560            -320        -1.24212        0.469213         1.59715          8.7449
            5300            -540            -158        -1.24305        0.471421         1.59826         8.72186
            5400            -408            -184        -1.24361        0.472416         1.58344         8.60062
            5500            -508            -228        -1.24542        0.475451         1.59244         8.58821
            5600            -536            -298        -1.24797            0.48         1.60071         8.64108
            5700            -508            -224        -1.24746        0.480145         1.58828         8.53958
            5800            -524            -246        -1.24819        0.482236         1.57558         8.44414
            5900            -520            -284         -1.2493        0.484554         1.56686         8.39026
            6000            -456            -198        -1.25083        0.487508         1.57455         8.38338
            6100            -620            -346        -1.25256        0.491101         1.57854         8.40494
            6200            -540            -292        -1.25178        0.490619         1.57715         8.36019
            6300            -456            -146        -1.25305        0.493319         1.58433         8.35512
            6400            -516             272        -1.25171        0.491103         1.58489         8.33709
            6500            -484              80         -1.2525        0.492219         1.58892         8.34694
            6600            -440              14         -1.2512        0.487311         1.58167         8.51118
            6700            -536             290        -1.25106        0.487396         1.58307         8.48928
            6800            -516             280        -1.25219        0.489965         1.57671          8.4673
            6900            -480              88        -1.25106        0.487656         1.56787         8.46421
            7000            -444              54        -1.24912        0.482383         1.56999         8.67717
            7100            -476             -20        -1.24777        0.479018         1.56348         8.73567
            7200            -556             250        -1.24648        0.475832         1.55954         8.81137
            7300            -400              54        -1.24594        0.475162         1.55527         8.76808
            7400            -504             264        -1.24427        0.473031         1.55729         8.77187
            7500            -536             284        -1.24552        0.475593         1.55855         8.75418
            7600            -508             104        -1.24567        0.476582         1.55028          8.6856
            7700            -492              90        -1.24439        0.472699         1.54608         8.78324
            7800            -532             234        -1.24472        0.473497         1.53918         8.71818
            7900            -428              14        -1.24422        0.471013         1.53494         8.79505
            8000            -468             234        -1.24314        0.468641         1.53211         8.82779
            8100            -488             118        -1.24365        0.469814         1.52503         8.78631
            8200            -504             158         -1.2429        0.466721         1.51709         8.83796
            8300            -460            -168        -1.24219        0.464632         1.50895         8.84103
            8400            -424             130        -1.24098        0.462438          1.5089         8.84842
            8500            -420             -74         -1.2403        0.459991         1.50113         8.87163
            8600            -520             114        -1.23886        0.455998         1.50258         9.01688
            8700            -416              66        -1.23695        0.453424         1.51452         9.04459
            8800            -456             172         -1.2358        0.451552         1.51219         9.00996
            8900            -496              64        -1.23507        0.448611         1.50339          9.0642
            9000            -460            -194        -1.23385        0.445868          1.5014         9.12376
            9100            -460            -152        -1.23354        0.446307         1.49245         9.05267
            9200            -508            -142        -1.23356        0.447091         1.48303          8.9808
            9300            -500             132        -1.23244        0.444779         1.48015         8.99932
            9400            -420              74        -1.23137        0.441685         1.47928         9.06518
            9500            -568            -288        -1.23194        0.442536         1.47762         9.07347
            9600            -512            -164        -1.23241        0.443609         1.47853         9.03656
            9700            -488            -198        -1.23302        0.444737         1.47127          8.9738
            9800            -516            -234        -1.23347        0.445864         1.47091         8.94459
            9900            -460            -222        -1.23449        0.447768         1.46938         8.92395
           10000            -588            -302        -1.23462        0.448664         1.46582         8.89098
