               T           <eps>             <m>             C_V         Sucept.
               2        -1.74092        0.892604         0.94769         7.80055
            2.03        -1.71935         0.88834        0.969679         5.98386
            2.06        -1.69639        0.881918        0.959547         3.68857
            2.09         -1.6697        0.869042          1.0184         2.37075
            2.12         -1.6415         0.85491         1.07226         1.88895
            2.15        -1.60827         0.83029         1.21847         4.15645
            2.18        -1.56906        0.793148         1.44197         7.78905
            2.21        -1.52527         0.74799         1.65328         12.0259
            2.24        -1.47799        0.697349         1.87369         15.9811
            2.27        -1.42557        0.623782         1.97903         22.3539
             2.3        -1.36277        0.512816         1.98596         29.3787
            2.33        -1.31149        0.427762         1.75523         29.1757
            2.36        -1.26141        0.336296         1.47691         25.5606
            2.39        -1.22069        0.276198         1.27776         20.3975
            2.42        -1.18452        0.230431         1.12509         16.0464
            2.45        -1.15318        0.198774         1.00843         12.7023
            2.48         -1.1244        0.174011        0.915052         10.0123
            2.51        -1.09886        0.159018        0.857791         8.39555
            2.54        -1.07348         0.14247        0.804091         6.89235
            2.57        -1.04982        0.130391        0.742885         5.69406
             2.6        -1.02826         0.11857        0.702243          4.7516
            2.63        -1.00795        0.112734         0.67124         4.23835
