T	<eps>		<m>		C_V		Sucept.100
2	-1.74549	0.911298	0.724172	0.382846
2.03	-1.72274	0.900562	0.78657		0.493739
2.06	-1.69814	0.888322	0.853484	0.633754
2.09	-1.67128	0.873878	0.932505	0.856353
2.12	-1.64226	0.857099	1.02049		1.19461
2.15	-1.60938	0.83518		1.13455		2.03853
2.18	-1.57354	0.809056	1.26548		2.72677
2.21	-1.53114	0.7684		1.48742		6.33083
2.24	-1.48123	0.701376	1.83026		24.9821
2.27	-1.41398	0.524489	2.43277		121.18
2.3	-1.34463	0.295993	1.92957		123.145
2.33	-1.2961		0.218274	1.564		76.6685
2.36	-1.25216	0.139356	1.30215		41.0197
2.39	-1.21572	0.108241	1.16758		26.2593
2.42	-1.18273	0.0944354	1.04955		19.3185
2.45	-1.15154	0.0780559	0.973774	14.0925
2.48	-1.1243		0.0672534	0.900665	10.3732
2.51	-1.09739	0.0604911	0.830625	8.41556
2.54	-1.07318	0.0569456	0.790121	7.23151
2.57	-1.05034	0.0532414	0.747824	6.20709
2.6	-1.0285		0.0485952	0.700747	5.05188
2.63	-1.00774	0.0445154	0.662662	4.177
