 T	<eps>	             <m>	C_V	        Sucept.40
2	-1.74561	0.911497	0.720527	0.370886
2.03	-1.72303	0.90098		0.776466	0.466544
2.06	-1.69809	0.888264	0.850596	0.632148
2.09	-1.67128	0.873621	0.933597	0.906938
2.12	-1.64218	0.85709		1.0238		1.125
2.15	-1.61016	0.836322	1.1382		1.73983
2.18	-1.57284	0.807201	1.29465		3.16957
2.21	-1.53077	0.768594	1.47052		5.53689
2.24	-1.4812		0.707192	1.80385		13.8778
2.27	-1.42902	0.637645	1.92201		19.0401
2.3	-1.36713	0.52924		1.98775		28.0242
2.33	-1.31291	0.433664	1.74964		28.5739
2.36	-1.26173	0.341794	1.49018		25.1626
2.39	-1.22183	0.280796	1.273		20.4407
2.42	-1.18493	0.228875	1.11269		15.8923
2.45	-1.15271	0.200686	1.01036		12.7593
2.48	-1.12423	0.175037	0.906683	9.88053
2.51	-1.09857	0.157362	0.854341	8.27315
2.54	-1.07336	0.140618	0.802087	6.77693
2.57	-1.04935	0.129187	0.74654		5.67017
2.6	-1.0284		0.119814	0.703263	4.89038
2.63	-1.00794	0.113612	0.67287		4.33032

