         Sample#               E               M           <eps>             <m>             C_V        Suscept.
               0               0               2            -nan            -nan            -nan            -nan
             100              -8               4              -2               1               0               0
             200              -8               4              -2               1               0               0
             300              -8               4              -2               1               0               0
             400              -8               4              -2               1               0               0
             500              -8               4          -1.988           0.996        0.095424        0.011936
             600              -8               4           -1.99        0.996667          0.0796      0.00995556
             700              -8               4        -1.99143        0.997143       0.0682776      0.00853878
             800              -8               4         -1.9925          0.9975        0.059775        0.007475
             900              -8               4        -1.99333        0.997778       0.0531556      0.00664691
            1000              -8               4          -1.994           0.998        0.047856        0.005984
            1100              -8               4        -1.99455        0.998182       0.0435174      0.00544132
            1200              -8               4          -1.995        0.998333          0.0399      0.00498889
            1300              -8               4        -1.99538        0.998462       0.0368379      0.00460592
            1400              -8               4        -1.99571        0.998571       0.0342122      0.00427755
            1500              -8               4          -1.996        0.998667        0.031936      0.00399289
            1600              -8               4          -1.985        0.994375          0.1191       0.0186234
            1700              -8               4        -1.98588        0.994706        0.112144       0.0175349
            1800              -8               4        -1.98667           0.995        0.105956       0.0165667
            1900              -8               4        -1.98737        0.995263        0.100414       0.0156997
            2000              -8               4          -1.988          0.9955        0.095424        0.014919
            2100              -8               4        -1.98857        0.995714       0.0909061       0.0142122
            2200              -8               4        -1.98909        0.995909       0.0867967       0.0135694
            2300              -8              -4        -1.98696           0.995        0.103667       0.0168565
            2400              -8              -4         -1.9875        0.995208        0.099375       0.0161582
            2500              -8              -4          -1.988          0.9954        0.095424       0.0155154
            2600              -8              -4        -1.98846        0.995577       0.0917751       0.0149217
            2700              -8              -4        -1.98889        0.995741       0.0883951       0.0143719
            2800              -8              -4        -1.98929        0.995893       0.0852551       0.0138611
            2900              -8              -4        -1.98966        0.996034       0.0823306       0.0133854
            3000              -8              -4           -1.99        0.996167          0.0796       0.0129412
            3100              -8              -4        -1.99032         0.99629       0.0770447       0.0125256
            3200              -8              -4        -1.99063        0.996406       0.0746484       0.0121358
            3300              -8              -4        -1.99091        0.996515       0.0723967       0.0117696
            3400              -8              -4           -1.99        0.996176          0.0796       0.0128827
            3500              -8              -4        -1.99029        0.996286       0.0773368       0.0125162
            3600              -8              -4        -1.99056        0.996389       0.0751988       0.0121701
            3700              -8              -4        -1.99081        0.996486       0.0731757       0.0118425
            3800              -8              -4        -1.99105        0.996579       0.0712587       0.0115321
            3900              -8              -4        -1.99128        0.996667       0.0694396       0.0112376
            4000              -8              -4         -1.9915         0.99675        0.067711       0.0109577
            4100              -8              -4        -1.99171        0.996829       0.0660664       0.0106915
            4200              -8              -4         -1.9919        0.996905       0.0644998       0.0104379
            4300              -8              -4        -1.99209        0.996977       0.0630057        0.010196
            4400              -8              -4        -1.99227        0.997045       0.0615793      0.00996508
            4500              -8              -4        -1.99244        0.997111       0.0602161       0.0097444
            4600              -8              -4        -1.99261        0.997174       0.0589119      0.00953327
            4700              -8              -4        -1.99277        0.997234        0.057663       0.0093311
            4800              -8              -4        -1.99292        0.997292        0.056466      0.00913733
            4900              -8              -4        -1.99306        0.997347       0.0553176      0.00895144
            5000              -8              -4         -1.9932          0.9974        0.054215      0.00877296
            5100              -8              -4        -1.99255        0.997157       0.0593858      0.00957551
            5200              -8              -4        -1.99269        0.997212       0.0582479      0.00939197
            5300              -8              -4        -1.99283        0.997264       0.0571529      0.00921534
            5400              -8              -4        -1.99296        0.997315       0.0560982      0.00904523
            5500              -8              -4        -1.99309        0.997364       0.0550818      0.00888129
            5600              -8              -4        -1.99321        0.997411       0.0541015      0.00872318
            5700              -8              -4        -1.99333        0.997456       0.0531556      0.00857061
            5800              -8              -4        -1.99345          0.9975       0.0522421      0.00842328
            5900              -8              -4        -1.99356        0.997542       0.0513595      0.00828093
            6000              -8              -4        -1.99367        0.997583       0.0505062      0.00814331
            6100              -8              -4        -1.99377        0.997623       0.0496808      0.00801019
            6200              -8              -4        -1.99387        0.997661        0.048882      0.00788135
            6300              -8              -4        -1.99397        0.997698       0.0481084      0.00775659
            6400              -8              -4        -1.99406        0.997734        0.047359      0.00763572
            6500              -8              -4        -1.99415        0.997769       0.0466325      0.00751856
            6600              -8              -4        -1.99424        0.997803        0.045928      0.00740494
            6700              -8              -4        -1.99433        0.997836       0.0452445       0.0072947
            6800              -8              -4        -1.99441        0.997868        0.044581      0.00718769
            6900              -8              -4        -1.99449        0.997899       0.0439367      0.00708378
            7000              -8              -4        -1.99457        0.997929       0.0433107      0.00698284
            7100              -8              -4        -1.99465        0.997958       0.0427023      0.00688473
            7200              -8              -4        -1.99472        0.997986       0.0421108      0.00678933
            7300              -8              -4        -1.99479        0.998014       0.0415354      0.00669655
            7400              -8              -4        -1.99486        0.998041       0.0409756      0.00660626
            7500              -8              -4        -1.99493        0.998067       0.0404306      0.00651838
            7600              -8              -4          -1.995        0.998092          0.0399      0.00643281
            7700              -8              -4        -1.99506        0.998117       0.0393831      0.00634945
            7800              -8              -4        -1.99513        0.998141       0.0388794      0.00626823
            7900              -8              -4        -1.99519        0.998165       0.0383885      0.00618906
            8000              -8              -4        -1.99525        0.998188       0.0379098      0.00611186
            8100              -8              -4        -1.99531         0.99821       0.0374428      0.00603656
            8200              -8              -4        -1.99488        0.998049       0.0408707      0.00657014
            8300              -8              -4        -1.99494        0.998072       0.0403795      0.00649116
            8400              -8              -4        -1.99452        0.997976       0.0436896      0.00665028
            8500              -8              -4        -1.99459           0.998        0.043177      0.00657224
            8600              -8              -4        -1.99395        0.997849       0.0482259      0.00684196
            8700              -8              -4        -1.99402        0.997874       0.0476732      0.00676352
            8800              -8               4        -1.99295        0.997443       0.0561651      0.00826931
            8900              -8               4        -1.99303        0.997472       0.0555362      0.00817668
            9000              -8               4        -1.99311          0.9975       0.0549213      0.00808611
            9100              -8               4        -1.99319        0.997527       0.0543198      0.00799752
            9200              -8               4        -1.99326        0.997554       0.0537314      0.00791086
            9300              -8               4         -1.9929        0.997473       0.0565727      0.00803898
            9400              -8               4        -1.99298          0.9975        0.055973      0.00795372
            9500              -8               4        -1.99305        0.997526       0.0553859      0.00787026
            9600              -8               4        -1.99313        0.997552       0.0548109      0.00778853
            9700              -8               4         -1.9932        0.997577       0.0542478      0.00770848
            9800              -8               4        -1.99327        0.997602       0.0536961      0.00763006
            9900              -8               4        -1.99333        0.997626       0.0531556      0.00755322
           10000              -8               4         -1.9932          0.9976        0.054215      0.00757696
           10100              -8               4        -1.99307        0.997574       0.0552534      0.00760023
           10200              -8               4        -1.99314        0.997598       0.0547136      0.00752594
           10300              -8               4        -1.99223        0.997184       0.0618946       0.0090945
           10400              -8               4        -1.99231        0.997212       0.0613018      0.00900736
           10500              -8               4        -1.99238        0.997238       0.0607202      0.00892187
           10600              -8               4        -1.99245        0.997264       0.0601495      0.00883799
           10700              -8               4        -1.99252         0.99729       0.0595895      0.00875566
           10800              -8               4        -1.99259        0.997315       0.0590398      0.00867486
           10900              -8              -4        -1.99248        0.997294       0.0599571       0.0086863
           11000              -8              -4        -1.99255        0.997318       0.0594141       0.0086076
           11100              -8              -4        -1.99261        0.997342       0.0588808      0.00853031
           11200              -8              -4        -1.99268        0.997366        0.058357      0.00845439
           11300              -8              -4        -1.99274        0.997389       0.0578425      0.00837982
           11400              -8              -4        -1.99281        0.997412       0.0573369      0.00830655
           11500              -8              -4        -1.99287        0.997435       0.0568401      0.00823455
           11600              -8              -4        -1.99293        0.997457       0.0563518      0.00816379
           11700              -8              -4        -1.99299        0.997479       0.0558719      0.00809423
           11800              -8              -4        -1.99305          0.9975       0.0554001      0.00802585
           11900              -8              -4        -1.99311        0.997521       0.0549361      0.00795861
           12000              -8              -4        -1.99317        0.997542       0.0544799      0.00789249
           12100              -8              -4        -1.99322        0.997562       0.0540312      0.00782746
           12200              -8              -4        -1.99328        0.997582       0.0535898       0.0077635
           12300              -8              -4        -1.99333        0.997602       0.0531556      0.00770057
           12400              -8              -4        -1.99339        0.997621       0.0527283      0.00763865
           12500              -8              -4        -1.99344         0.99764       0.0523079      0.00757772
           12600              -8              -4        -1.99349        0.997659       0.0518941      0.00751776
           12700              -8              -4        -1.99354        0.997677       0.0514868      0.00745873
           12800              -8              -4        -1.99359        0.997695       0.0510858      0.00740063
           12900              -8              -4        -1.99364        0.997713       0.0506911      0.00734342
           13000              -8              -4        -1.99369        0.997731       0.0503024      0.00728709
           13100              -8              -4        -1.99374        0.997748       0.0499196      0.00723162
           13200              -8              -4        -1.99379        0.997765       0.0495426      0.00717699
           13300              -8               4        -1.99368        0.997744       0.0503668      0.00719769
           13400              -8               4        -1.99373        0.997761       0.0499921      0.00714413
           13500              -8               4        -1.99378        0.997778       0.0496229      0.00709136
           13600              -8               4        -1.99382        0.997794       0.0492592      0.00703936
           13700              -8               4        -1.99387         0.99781       0.0489007      0.00698812
           13800              -8               4        -1.99391        0.997826       0.0485474      0.00693762
           13900              -8               4        -1.99396        0.997842       0.0481992      0.00688784
           14000              -8               4          -1.994        0.997857        0.047856      0.00683878
           14100              -8               4        -1.99404        0.997872       0.0475176       0.0067904
           14200              -8               4        -1.99408        0.997887        0.047184      0.00674271
           14300              -8               4        -1.99413        0.997902        0.046855      0.00669568
           14400              -8               4        -1.99417        0.997917       0.0465306      0.00664931
           14500              -8               4        -1.99421        0.997931       0.0462106      0.00660357
           14600              -8               4        -1.99425        0.997945        0.045895      0.00655845
           14700              -8               4        -1.99429        0.997959       0.0455837      0.00651395
           14800              -8               4        -1.99405        0.997905       0.0474262      0.00660407
           14900              -8               4        -1.99409        0.997919       0.0471088      0.00655987
           15000              -8               4        -1.99413        0.997933       0.0467957      0.00651625
           15100              -8               4        -1.99417        0.997947       0.0464867      0.00647321
           15200              -8               4        -1.99421        0.997961       0.0461817      0.00643073
           15300              -8               4        -1.99425        0.997974       0.0458807      0.00638881
           15400              -8               4        -1.99429        0.997987       0.0455837      0.00634743
           15500              -8               4        -1.99432           0.998       0.0452904      0.00630658
           15600              -8               4        -1.99436        0.998013       0.0450009      0.00626626
           15700              -8               4        -1.99439        0.998025       0.0447151      0.00622644
           15800              -8               4        -1.99443        0.998038       0.0444329      0.00618713
           15900              -8               4        -1.99447         0.99805       0.0441542      0.00614832
           16000              -8               4         -1.9945        0.998062        0.043879      0.00610998
           16100              -8               4        -1.99453        0.998075       0.0436072      0.00607213
           16200              -8               4        -1.99457        0.998086       0.0433388      0.00603474
           16300              -8               4        -1.99448        0.998067       0.0440498      0.00605868
           16400              -8               4        -1.99451        0.998079        0.043782      0.00602183
           16500              -8               4        -1.99455        0.998091       0.0435174      0.00598542
           16600              -8               4        -1.99458        0.998102       0.0432559      0.00594945
           16700              -8               4        -1.99461        0.998114       0.0429976      0.00591391
           16800              -8               4        -1.99464        0.998125       0.0427423      0.00587879
           16900              -8               4        -1.99467        0.998136       0.0424901      0.00584409
           17000              -8               4        -1.99471        0.998147       0.0422408       0.0058098
           17100              -8               4        -1.99474        0.998158       0.0419945       0.0057759
           17200              -8               4        -1.99477        0.998169       0.0417509       0.0057424
           17300              -8               4         -1.9948        0.998179       0.0415102      0.00570928
           17400              -8               4        -1.99483         0.99819       0.0412723      0.00567655
           17500              -8               4        -1.99486          0.9982       0.0410371      0.00564418
           17600              -8               4        -1.99489         0.99821       0.0408045      0.00561219
           17700              -8               4        -1.99492         0.99822       0.0405745      0.00558055
           17800              -8               4        -1.99494         0.99823       0.0403472      0.00554927
           17900              -8               4        -1.99497         0.99824       0.0401223      0.00551834
           18000              -8               4          -1.995         0.99825          0.0399      0.00548775
           18100              -8               4        -1.99503         0.99826       0.0396801       0.0054575
           18200              -8               4        -1.99505        0.998269       0.0394626      0.00542758
           18300              -8               4        -1.99508        0.998279       0.0392475      0.00539798
           18400              -8               4        -1.99511        0.998288       0.0390347      0.00536871
           18500              -8               4        -1.99514        0.998297       0.0388243      0.00533975
           18600              -8               4        -1.99516        0.998306        0.038616      0.00531111
           18700              -8               4        -1.99519        0.998316         0.03841      0.00528277
           18800              -8               4        -1.99521        0.998324       0.0382062      0.00525473
           18900              -8               4        -1.99524        0.998333       0.0380045      0.00522698
           19000              -8               4        -1.99526        0.998342        0.037805      0.00519953
           19100              -8               4        -1.99529        0.998351       0.0376075      0.00517237
           19200              -8               4        -1.99531        0.998359       0.0374121      0.00514548
           19300              -8               4        -1.99534        0.998368       0.0372187      0.00511888
           19400              -8               4        -1.99505        0.998273       0.0394897      0.00540044
           19500              -8               4        -1.99508        0.998282       0.0392877      0.00537281
           19600              -8               4         -1.9951        0.998291       0.0390877      0.00534546
           19700              -8               4        -1.99513        0.998299       0.0388898      0.00531838
           19800              -8               4        -1.99515        0.998308       0.0386938      0.00529158
           19900              -8               4        -1.99518        0.998317       0.0384999      0.00526505
           20000              -8               4         -1.9952        0.998325       0.0383078      0.00523878
           20100              -8               4        -1.99522        0.998333       0.0381177      0.00521277
           20200              -8               4        -1.99525        0.998342       0.0379295      0.00518702
           20300              -8               4        -1.99527         0.99835       0.0377431      0.00516152
           20400              -8               4        -1.99529        0.998358       0.0375585      0.00513627
           20500              -8               4        -1.99532        0.998366       0.0373757      0.00511127
           20600              -8               4        -1.99534        0.998374       0.0371947      0.00508651
           20700              -8               4        -1.99527        0.998357       0.0377847      0.00510998
           20800              -8               4        -1.99529        0.998365       0.0376035      0.00508547
           20900              -8               4        -1.99522        0.998349       0.0381859      0.00510872
           21000              -8               4        -1.99524        0.998357       0.0380045      0.00508444
           21100              -8               4        -1.99526        0.998365       0.0378248       0.0050604
           21200              -8               4        -1.99528        0.998373       0.0376468      0.00503658
           21300              -8               4        -1.99521        0.998357       0.0382181      0.00505962
           21400              -8               4        -1.99523        0.998364         0.03804      0.00503603
           21500              -8               4        -1.99526        0.998372       0.0378635      0.00501266
           21600              -8               4        -1.99528         0.99838       0.0376886       0.0049895
           21700              -8              -4        -1.99512        0.998341       0.0389829      0.00505812
           21800              -8              -4        -1.99514        0.998349       0.0388045      0.00503496
           21900              -8              -4        -1.99516        0.998356       0.0386278      0.00501202
           22000              -8              -4        -1.99518        0.998364       0.0384526      0.00498929
           22100              -8              -4         -1.9952        0.998371        0.038279      0.00496676
           22200              -8              -4        -1.99523        0.998378        0.038107      0.00494444
           22300              -8              -4        -1.99525        0.998386       0.0379365      0.00492231
           22400              -8              -4        -1.99527        0.998393       0.0377676      0.00490038
           22500              -8              -4        -1.99529          0.9984       0.0376001      0.00487865
           22600              -8              -4        -1.99531        0.998407       0.0374341      0.00485711
           22700              -8              -4        -1.99533        0.998414       0.0372696      0.00483575
           22800              -8              -4        -1.99535        0.998421       0.0371065      0.00481459
           22900              -8              -4        -1.99537        0.998428       0.0369449      0.00479361
           23000              -8               4        -1.99522        0.998391       0.0381694      0.00485921
           23100              -8               4        -1.99524        0.998398       0.0380045      0.00483822
           23200              -8               4        -1.99526        0.998405       0.0378411      0.00481741
           23300              -8               4        -1.99528        0.998412       0.0376791      0.00479678
           23400              -8               4         -1.9953        0.998419       0.0375184      0.00477632
           23500              -8               4        -1.99532        0.998426       0.0373592      0.00475604
           23600              -8               4        -1.99534        0.998432       0.0372012      0.00473593
           23700              -8               4        -1.99536        0.998439       0.0370446      0.00471599
           23800              -8               4        -1.99521        0.998403       0.0382276      0.00477972
           23900              -8               4        -1.99523         0.99841        0.038068      0.00475976
           24000              -8               4        -1.99525        0.998417       0.0379098      0.00473997
           24100              -8               4        -1.99527        0.998423       0.0377528      0.00472035
           24200              -8               4        -1.99529         0.99843       0.0375972      0.00470088
           24300              -8               4        -1.99531        0.998436       0.0374428      0.00468158
           24400              -8              -4        -1.99508        0.998381       0.0392475       0.0047846
           24500              -8              -4         -1.9951        0.998388       0.0390877      0.00476511
           24600              -8              -4        -1.99512        0.998394       0.0389292      0.00474578
           24700              -8              -4        -1.99514        0.998401        0.038772      0.00472661
           24800              -8              -4        -1.99516        0.998407        0.038616      0.00470759
           24900              -8              -4        -1.99518        0.998414       0.0384613      0.00468873
           25000              -8              -4         -1.9952         0.99842       0.0383078      0.00467001
           25100              -8              -4        -1.99522        0.998426       0.0381556      0.00465145
           25200              -8              -4        -1.99524        0.998433       0.0380045      0.00463303
           25300              -8              -4        -1.99526        0.998439       0.0378547      0.00461476
           25400              -8              -4        -1.99528        0.998445        0.037706      0.00459663
           25500              -8              -4        -1.99529        0.998451       0.0375585      0.00457864
           25600              -8               4        -1.99523        0.998418       0.0380342      0.00471655
           25700              -8               4        -1.99525        0.998424       0.0378865      0.00469824
           25800              -8               4        -1.99527         0.99843         0.03774      0.00468007
           25900              -8               4        -1.99529        0.998436       0.0375946      0.00466203
           26000              -8               4        -1.99531        0.998442       0.0374504      0.00464414
           26100              -8               4        -1.99533        0.998448       0.0373072      0.00462638
           26200              -8               4        -1.99534        0.998454       0.0371652      0.00460876
           26300              -8               4        -1.99536         0.99846       0.0370242      0.00459127
           26400              -8               4        -1.99538        0.998466       0.0368843      0.00457392
           26500              -8               4         -1.9954        0.998472       0.0367454      0.00455669
           26600              -8               4        -1.99541        0.998477       0.0366076       0.0045396
           26700              -8               4        -1.99543        0.998483       0.0364708      0.00452263
           26800              -8               4        -1.99545        0.998489        0.036335      0.00450579
           26900              -8               4        -1.99546        0.998494       0.0362003      0.00448907
           27000              -8               4        -1.99548          0.9985       0.0360665      0.00447248
           27100              -8               4         -1.9955        0.998506       0.0359337      0.00445601
           27200              -8               4        -1.99551        0.998511       0.0358019      0.00443966
           27300              -8               4        -1.99553        0.998516        0.035671      0.00442343
           27400              -8               4        -1.99555        0.998522       0.0355411      0.00440732
           27500              -8               4        -1.99556        0.998527       0.0354122      0.00439132
           27600              -8               4        -1.99558        0.998533       0.0352842      0.00437545
           27700              -8               4         -1.9956        0.998538       0.0351571      0.00435968
           27800              -8               4        -1.99561        0.998543       0.0350309      0.00434403
           27900              -8               4        -1.99563        0.998548       0.0349056      0.00432849
           28000              -8               4        -1.99564        0.998554       0.0347812      0.00431306
           28100              -8               4        -1.99566        0.998559       0.0346577      0.00429774
           28200              -8               4        -1.99567        0.998564       0.0345351      0.00428253
           28300              -8               4        -1.99569        0.998569       0.0344133      0.00426743
           28400              -8               4         -1.9957        0.998574       0.0342924      0.00425243
           28500              -8               4        -1.99572        0.998579       0.0341723      0.00423754
           28600              -8               4        -1.99573        0.998584       0.0340531      0.00422275
           28700              -8               4        -1.99575        0.998589       0.0339347      0.00420806
           28800              -8               4        -1.99576        0.998594       0.0338171      0.00419348
           28900              -8               4        -1.99578        0.998599       0.0337003        0.004179
           29000              -8               4        -1.99579        0.998603       0.0335844      0.00416461
           29100              -8               4        -1.99581        0.998608       0.0334692      0.00415033
